Name,RenameTo,Delete
Ultimate Singles,Ultimate,
Guilty Gear: Strive,,
Fantasy Strike,,
Street Fighter 6,,
Mystery Game,,
SoulCalibur II,,
Granblue Fantasy Versus: Rising,Granblue Fantasy Versus,
Salty Suite,Salty Suite (Strive),
Guilty Gear Xrd REV2,,
Love Live: Sunshine Showdown,,
Salty Suite (Strive),,
Salty Suite (SF6),,
Ultimate Singles Waitlist,,Y
Persona 4 Arena Ultimax,,
Tekken 8,,
Guilty Gear XXAC+R,,
UNI 2,Under Night,
UNICLR,Under Night,
Melty Blood: Type Lumina,,
Rivals 2,,
Granblue Fantasy: Versus,Granblue Fantasy Versus,
KOFXV,,
Virtua Fighter 5 R.E.V.O.,Virtua Fighter 5,
Ultra Fight Da! Kyanta 2,,
BlazBlue: Central Fiction,BlazBlue: Centralfiction,
Battle Factory,,Y
BlazBlue: Centralfiction,,
Ultimate Doubles,,Y
Random Singles,,Y
MBAACC,,
Squad Strike,,Y
Divekick,,
SF6 Waiting List,,Y
Reverse Mains,,Y
Virtua Fighter 5: Ultimate Showdown,Virtua Fighter 5,
Smash Ultimate Doubles,,Y
Salty Suite (Granblue),,Y
Redemption Bracket,,Y
E's Laf++,,
Under Night In-Birth Exe:Late[cl-r],Under Night,
Trial of the Month (Pokemon Close Combat),Pokemon Close Combat,
Mortal Kombat 1,,
Mega Smash,,Y
Guilty Gear XX AC+R,Guilty Gear XXAC+R,
Character Raffle,,Y
Amiibo Doubles,,Y
Vampire Savior,,
Under Night In-Birth II Sys:Celes,Under Night,
Trial of the Month (Dragon Ball FighterZ),Dragon Ball FighterZ,
SoulCalibur VI,,
Rivals of Aether,,
Randubs,,Y
Kibotsu's After Dark,,
KOF XV,KOFXV,
Guilty Gear XX Accent Core +R,Guilty Gear XXAC+R,
dubs,,Y
Windjammers 2,,
Valentine's Day Dubs,,Y
Ultimate Marvel vs Capcom 3,,
Tekken 8 Salty Suite,,Y
TTTTTTTTTT,Tic-Tac-Toe,
TTTTTTTT,Tic-Tac-Toe,
Strive Partner Swap Doubles,,Y
Street Fighter 6 Salty Suite,Salty Suite (SF6),
Sclash,,
Rivals of Aether 2,Rivals 2,
Raffle Bracket,,Y
Mystery Game 2,Mystery Game,
Mystery Game 1,Mystery Game,
King of Fighters XV,KOFXV,
Killer Instinct,,
Guilty Gear Strive Salty Suite,Salty Suite (Strive),
Dragon Ball FighterZ,Dragon Ball FighterZ,
Doubles,,Y
Dizzy Duels,Strive New Character Only,
DNF Duel,,
BLINDFOLDED DOUBLES,,Y
squad up FINALS,,Y
squad 2,,Y
squad,,Y
Yugioh,,
Yazeed Picks Your Character Bracket,,Y
White Elephant Gift Exchange,,Y
Wario Wars,,Y
Virtua Fighter 5 R.E.V.O. (Salty Suite),,Y
Virtua Fighter 5 R.E.V.O. ($100 Pot Bonus),Virtua Fighter 5,
Valentine's Day Doubles Bracket,,Y
Valentine's Day Doubles,,Y
Ultimate: Time to Fight Ghosts,,Y
Ultimate: Show Me Those Skeletons,,Y
Ultimate: Ghost Battle,,Y
Ultimate: An Evil Force Approaches,,Y
Ultimate Random Doubles,,Y
Two Players One Controller,,Y
Truly A Party,,Y
Toriyama Memorial,Dragon Ball FighterZ,
Timmys Min Min Mosh Pit: Mashers Mahyem,,Y
That Man Is Flat But Asuka Are Sharp,Strive New Character Only,
Tenant's Fun Birthday Smoke Ball Smash!,,Y
Tekken 7,,
Tail Smash,,Y
TTTTTTTTT,Tic-Tac-Toe,
TTTTTTT,Tic-Tac-Toe,
TTTTTT 9th Edition,Tic-Tac-Toe,
Super Smashdown,,Y
Strive x Smash,,Y
Strive to be Tiny,,Y
Street Fighter 6: Auction Edition,,Y
Steve Only Bracket,,Y
Spoof KOF FGC Showdown,,Y
Speed Duel Tournament,,Y
Snake Eater Smash,,Y
Smash the Spire,,Y
Smash on a Budget,,Y
"Singles Again, but different stage list",,Y
Sin City,Strive New Character Only,
Side Event (AMIIBO DOUBLES),,Y
Schmlorp Bracket,,Y
Sakuri's Vision,,Y
SMASH X STRIVE,,Y
SF x Tekken,,Y
Rock Paper Scissors Bracket.,,Y
Ring Out!,,Y
Regular Squad Strike WIth No Extra Rules,,Y
Regular Doubles,,Y
Randoms Smashdown,,Y
Randomly Seed BO1 Single Elimination Random Singles Smash Bracket,,Y
Random Triples,,Y
Random Mega Smash,,Y
Random Knockback Ratio Bracket,,Y
Random Doubles,,Y
Raffle Bracket 2 (please read the description),,Y
REVERSE MAINS,,Y
RANDOM SQUAD STRIKE,,Y
R.O.B. Beyblade Battle,,Y
Quentin Sora Cornball's Birthday Special :),,Y
Pokemon: Close Combat,Pokemon Close Combat,
Pokemon Chess,,Y
Pokemon Bracket,,Y
Poisonous 8 Ball,Strive New Character Only,
No Mains Squad Strike,,Y
New Game for a New Year,,Y
NASB SIDE EVENT,,Y
Mystery Game 3,Mystery Game,
MultiVersus Teams,,Y
Mortal Kombat 9,,
Minute Smash,,Y
MikeDrop's Ridley Rucus,,Y
Melody's Night Out (Mystery Game 2),Mystery Game,
Marvel Vs. Capcom 2,,Y
Marth Madness,,Y
Mario Kart Bracket >:),,Y
Mangonia,,
Love,,Y
Lethal League Singles,,Y
Let The Ball Drop,,Y
Kibo's special cool gentle-them's bracket for attractive people,Kibotsu's After Dark,
Is it Bedtime?,Strive New Character Only,
Heeeere's Johnny!,Strive New Character Only,
HAZARDS ON DUBBIES,,Y
Guitar Hero: Warriors of Rock,,Y
Guilty Gear: Strive (Randoms),,Y
Guilty Gear Xrd,Guilty Gear Xrd REV2,
Guilty Gear Strive (3v3 Team Battle),,Y
Granblue Fantasty: Versus,Granblue Fantasy Versus,
Gen 9 Random Battle,,Y
Gen 9 RANDOM BATTLES,,Y
Geist University,,Y
Ganon Ditto Bracket >:),,Y
Game & Watch Hammer Duels,,Y
FTCrash (Faust Only),FTCrash,
FTCrash,,
Everything is Fine and Dandy,Strive New Character Only,
Everything Must Go,,Y
Euchre!,,Y
Elphelt's a Rock Star!,Strive New Character Only,
Eat This!! Mega Smash!!,,Y
Earth Day Smash,,Y
Don't Be So Vane!,,Y
Dice Bracket,,Y
DEDEDE RUN AND LITTLE MACS BIG ADVENTURE,,Y
Combo Contest Season 3,,Y
Combo Contest,,Y
Christian's Crazy Columbus Columnal Combat,,Y
Chris' Birthday Bash,,Y
Canine Only,,Y
COIN FLIP BRACKET,,Y
Bowser's Bigger Blast,,Y
Bottom Tiers Squad Strike,,Y
Bo1 Random Singles,,Y
Beyblade Bracket,,Y
Ban Your Opponents Moves,,Y
Back in my day...,,Y
BRIDGET ONLY BRACKET,Strive New Character Only,
BATTLE FACTORY,,Y
Amiibo Dubs,,Y
Akatsuki Blitzkampf,,Y
AMIIBO DOUBLES 2,,Y
A.B.A. Dabba Doo!,Strive New Character Only,
3v3 Squad Strike,,Y
3+2 Blitz Chess,,Y
3 vs 3,,Y
2v2v2v2,,Y
2XKO,,Y
2B or Not 2B?,,Y
1 HAND BRACKET,,Y
#REV2FOREV2,Guilty Gear Xrd REV2,
